Kernel,TotalTime
93,527645590
107,520464354
94,483739977
101,372325631
181,355743757
208,318446283
89,307545127
66,295595624
105,183200866
73,122692034
218,97456660
121,96624487
224,94177553
120,80196063
219,73883681
220,72344429
221,49020143
222,48440923
111,48093226
223,47885180
113,45042771
201,42287337
116,36398714
197,36079340
215,35244899
109,35147675
173,34847130
175,32584525
206,29839550
196,28103233
117,27892651
210,26466898
125,16517862
207,15865777
148,14939696
91,14697199
123,14313725
178,12891534
118,12381014
79,11120024
203,9925940
171,7767435
114,7034713
126,5460755
164,3774058
166,3320973
144,1289878
152,856460
158,629335
141,590726
142,471255
162,467437
154,409488
146,405650
84,390201
160,371478
213,308252
156,288566
150,287830
225,277847
214,204604
212,992
